customer_id,name,gender,past_3_years_bike_related_purchases,age,job_title,job_industry_category,wealth_segment,owns_car,tenure,building_number,street_name,postcode,state,country,property_valuation,recency,frequency,monetary,RFM_rank,Segment,LTV
1,Laraine Medendorp,Female,93,64,Executive Secretary,Health,Mass Customer,Yes,11,60,Morning Avenue,2016,New South Wales,Australia,10,8,11,9084.45,555,Champions,8760.894246575344
2,Eli Bockman,Male,81,37,Administrative Officer,Financial Services,Mass Customer,Yes,16,6,Meadow Vale Court,2153,New South Wales,Australia,10,129,3,4149.07,112,Hibernating,1273.1392876712328
4,Talbot,Male,33,56,N/A,IT,Mass Customer,No,7,0,Holy Cross Court,4211,Queensland,Australia,9,196,2,1047.72,111,Hibernating,218.155397260274
5,Sheila-kathryn Calton,Female,56,40,Senior Editor,N/A,Affluent Customer,Yes,8,17979,Del Mar Point,2448,New South Wales,Australia,4,17,6,5903.2,433,Loyal Customers,4625.521095890411
6,Curr Duckhouse,Male,35,51,N/A,Retail,High Net Worth,Yes,13,9,Oakridge Court,3216,Victoria,Australia,9,65,5,5931.6900000000005,223,Hibernating,4420.327890410959
7,Fina Merali,Female,6,41,N/A,Financial Services,Affluent Customer,Yes,11,4,Delaware Trail,2210,New South Wales,Australia,9,254,3,995.38,111,Hibernating,169.0782465753425
8,Rod Inder,Male,31,55,Media Manager I,N/A,Mass Customer,No,7,49,Londonderry Lane,2650,New South Wales,Australia,4,23,10,12024.759999999998,455,Champions,11135.257205479451
9,Mala Lind,Female,97,44,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,97736,7th Trail,2023,New South Wales,Australia,12,79,6,5357.549999999999,233,At Risk,3684.2330136986293
11,Uriah Bisatt,Male,99,63,N/A,Property,Mass Customer,No,9,93405,Ludington Park,3044,Victoria,Australia,8,47,6,6779.4400000000005,334,Loyal Customers,4197.680657534247
12,Sawyere Flattman,Male,58,23,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,44339,Golden Leaf Alley,4557,Queensland,Australia,4,68,7,6394.21,243,At Risk,4449.669424657534
13,Gabriele Norcross,Male,38,62,Developer I,Financial Services,High Net Worth,Yes,8,2,Sutherland Street,3799,Victoria,Australia,6,28,7,7734.74,444,Champions,7014.243671232877
14,Rayshell Kitteman,Female,85,34,Account Executive,Financial Services,Affluent Customer,No,6,9,Mcbride Trail,2760,New South Wales,Australia,8,48,4,3593.57,311,New Customers,1831.243890410959
15,Erroll Radage,Male,91,17,Junior Executive,Manufacturing,Mass Customer,No,1,9861,New Castle Avenue,2428,New South Wales,Australia,9,36,6,4923.34,332,Loyal Customers,4167.978246575342
